" But cart has some errors.","Mas o carrinho contém erros"
"""Description"" is more than %d characters long","A ""Descrição"" tem mais que %d caracteres"
"""id"" attribute is required for a ""%s"" field.","O atributo ""is"" é obrigatório para o campo ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","O atributo ""line_count"" é obrigatório para o elemento ""múltiplas linhas"""
"""message"" attribute is required for ""%s"" validator rule.","O atributo ""message"" é obrigatório para validar a regra ""%s"""
"""Title"" is more than %d characters long","O ""Título"" tem mais que %s caracteres de comprimento"
"%1$s has been added to your wishlist.","%1$s foi adicionado à sua lista de desejos."
"%1$s incl tax.","%1$s com imposto."
"%s API Key required.","Chave API necessária %s."
"%s Application ID required.","ID Aplicação necessária %s."
"%s attribute is required.","O atributo %s é obrigatório"
"%s has been added to your cart.","%s foi adicionado ao seu carrinho"
"%s Secret Key required.","Chave Secreta necessária %s."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países que os listados abaixo. Como responsável pela aplicação, é responsável por cumprir os procedimentos legais relacionados com vendas nos países, incluindo o seu)"
"*Subject to change","*Sujeito a alteração"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Iniciar Sessão</a> em Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Uma aplicação Apenas Catálogo, não irá suportar funcionalidades como adicionar ao carrinho, adicionar à lista de desejos ou iniciar sessão."
"A new password has been sent.","Foi enviada uma nova palavra-passe"
"Account","Conta"
"Account confirmation is required. Please check your email for the confirmation link.","Confirmação de conta necessária. Por favor verifique o seu email para a ligação de confirmação."
"Account information has been saved.","A informação da conta foi guardada."
"Action","Ação"
"Activate","Ativar"
"Activate PayPal Checkout","Ativar Finalização de Encomenda através do Paypal"
"Activate PayPal MECL","Ativar Paypal MECL"
"Activation Key","Chave de Ativação"
"Add App","Adicionar Aplicação"
